tracking_num,sender_name,sender_phone,receiver_name,receiver_phone,package_type,method,status,create_time,pickup_code,shelf_id,storage_time,pickup_phone
202504080123,101,13800138001,FXT,12345678901,3,0,0,0,0,0,0,0
202504080456,101,13800138001,123,12345678900,11,0,0,0,0,0,0,0
202504080789,101,13800138001,FXT,12345678901,1,1,0,0,0,0,0,0
202504081234,102,13800138002,123,12345678900,9,1,0,0,0,0,0,0
202504081567,102,13800138002,FXT,12345678901,4,2,0,0,0,0,0,0
202504081890,102,13800138002,123,12345678900,0,2,0,0,0,0,0,0
202504082345,103,13800138003,FXT,12345678901,12,0,0,0,0,0,0,0
202504082678,103,13800138003,123,12345678900,2,1,0,0,0,0,0,0
202504083012,103,13800138003,FXT,12345678901,10,2,0,0,0,0,0,0
202504083456,101,13800138001,123,12345678900,3,2,0,0,0,0,0,0
202504083789,101,13800138001,FXT,12345678901,11,0,0,0,0,0,0,0
202504084123,101,13800138001,123,12345678900,1,0,0,0,0,0,0,0
202504084567,102,13800138002,FXT,12345678901,9,1,0,0,0,0,0,0
202504084890,102,13800138002,123,12345678900,4,1,0,0,0,0,0,0
202504085234,102,13800138002,FXT,12345678901,0,2,0,0,0,0,0,0
202504085678,103,13800138003,123,12345678900,12,2,0,0,0,0,0,0
202504086012,103,13800138003,FXT,12345678901,2,0,0,0,0,0,0,0
202504086345,103,13800138003,123,12345678900,10,0,0,0,0,0,0,0
202504086789,101,13800138001,FXT,12345678901,3,1,0,0,0,0,0,0
202504087123,101,13800138001,123,12345678900,11,1,0,0,0,0,0,0
202504087456,101,13800138001,FXT,12345678901,1,2,0,0,0,0,0,0
202504087890,102,13800138002,123,12345678900,9,2,0,0,0,0,0,0
202504088234,102,13800138002,FXT,12345678901,4,0,0,0,0,0,0,0
202504088567,102,13800138002,123,12345678900,0,0,0,0,0,0,0,0
202504088901,103,13800138003,FXT,12345678901,12,1,0,0,0,0,0,0
202504089234,103,13800138003,123,12345678900,2,1,0,0,0,0,0,0
202504089567,103,13800138003,FXT,12345678901,10,2,0,0,0,0,0,0
202504089890,101,13800138001,123,12345678900,3,2,0,0,0,0,0,0
202504090123,101,13800138001,FXT,12345678901,11,0,0,0,0,0,0,0
202504090456,101,13800138001,123,12345678900,1,0,0,0,0,0,0,0
